"geoAreaCode","geoAreaName","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"56","Belgium","31.19","65.63","67.95","34.6","13.89","54.52","60","58.33","83.93","61.11","5.56","27.17","5","53.33","47.38","9.09","42.65"
"84","Belize","23.81","65.63","66.15","26.33","13.89","52.21","100","58.33","54.69","33.33","16.67","35.45","0","43.33","47.38","18.75","59.2"
"204","Benin","34.06","65.63","64.74","29.19","13.89","52.21","100","41.67","48.44","36.67","32.04","17.27","15.33","40","45.6","12.5","52.07"
"64","Bhutan","35.8","65.63","62.31","30.62","8.33","70.63","100","29.17","34.38","43.33","24.26","26.42","16.67","37.5","47.38","15.97","53.38"
"68","Bolivia (Plurinational State of)","41.67","65.63","63.85","44","13.89","59.13","100","56.25","65.63","56.67","16.67","35.72","0","37.5","47.38","21.53","53.98"
"70","Bosnia and Herzegovina","22.02","65.63","74.68","17.41","15.28","74.71","60","64.58","82.14","40.74","25","17.27","10","30","49.76","14.39","55.88"
"72","Botswana","29.76","65.63","73.08","10","9.72","67.98","100","41.67","59.38","46.67","16.67","38.8","13.33","37.5","47.38","16.67","59.86"
"76","Brazil","49.64","78.13","79.23","41","37.5","77.21","100","62.5","73.44","63.33","21.67","35.45","11","63.33","49.76","19.31","60.19"
"96","Brunei Darussalam","5.95","59.38","69.74","32.71","25","27.25","80","52.08","54.69","40","5.56","33.9","0","43.33","39.05","14.17","34.2"
"100","Bulgaria","43.33","65.63","69.87","27.41","26.39","62.81","50","45.83","83.93","50.26","24.44","18.07","21","53.33","39.05","15.91","50"
"854","Burkina Faso","37.96","70.83","72.44","36.33","8.33","54.96","100","41.67","34.38","33.33","30","26.36","14.67","37.5","47.38","16.67","57.95"
"108","Burundi","36.63","70.83","68.59","36.33","9.72","54.96","100","29.17","46.88","43.33","32.22","17.81","16","37.5","49.76","15.97","53.19"
"132","Cabo Verde","37.38","64.58","72.44","44.9","34.72","43.54","100","52.08","54.69","36.67","15.56","35.45","12","40","45.3","15.97","59.53"
"116","Cambodia","16.48","65.63","68.97","42.67","26.39","70.96","100","43.75","67.19","46.67","23.52","26.36","6","43.33","47.38","16.67","58.93"
"120","Cameroon","43.62","65.63","64.74","29.19","20.83","52.21","100","37.5","60.94","53.33","34.63","35.45","16.67","36.67","47.38","18.75","58.93"
"124","Canada","23.81","76.04","71.79","9.26","8.33","49.81","60","52.08","76.79","48.41","16.67","26.36","5","63.33","47.38","9.24","48.9"
"140","Central African Republic","10.71","70.83","57.05","10","8.33","65.38","100","37.5","42.71","43.33","16.67","25.45","0","37.5","47.38","9.72","52.4"
